idwine	name	link	thumb	average_rating	ratings	price	tasteKeywords_1	tasteMentions_1	flavorGroup_1	tasteKeywords_2	tasteMentions_2	flavorGroup_2	tasteKeywords_3	tasteMentions_3	flavorGroup_3	tasteKeywords_4	tasteMentions_4	flavorGroup_4	moyenne_price	tasteKeywords_5	tasteMentions_5	flavorGroup_5	tasteKeywords_6	tasteMentions_6	flavorGroup_6	tasteKeywords_7	tasteMentions_7	flavorGroup_7	tasteKeywords_8	tasteMentions_8	flavorGroup_8	tasteKeywords_9	tasteMentions_9	flavorGroup_9	tasteKeywords_10	tasteMentions_10	flavorGroup_10
111476	Château Smith Haut-Lafitte Pessac-Léognan (Grand Cru Classé)	https://www.vivino.com/GB/fr/wines/1961868	https://images.vivino.com/thumbs/LR-NqLwuSSiLeZMXUwRA9g_pb_300x300.png	4,3		95	chêne, tabac, vanille	2078	boisé	mûre, cassis, cassis	1870	fruit noir	cuir, Terreux, fumée	1619	Terreux																						
111473	Château Beychevelle Saint-Julien (Grand Cru Classé)	https://www.vivino.com/US-NY/fr/wines/2048358	https://images.vivino.com/thumbs/8co6iZt_TA2-Qe2guLjoug_pb_300x300.png	4,3		87,99	tabac, chêne, cèdre	1691	boisé	cassis, mûre, cassis	1531	fruit noir	cuir, Terreux, fumée	1312	Terreux																						
111479	Moët & Chandon Impérial Rosé Brut Champagne	https://www.vivino.com/US-NY/fr/wines/164943024	https://images.vivino.com/thumbs/4OEmLwnyRgqh5FECEPdGCA_pb_300x300.png	4,1		75,99	fraise, framboise, ceri...	1863	fruit rouge																												
111478	Château Suduiraut Sauternes (Premier Grand Cru Classé)	https://www.vivino.com/US-NY/fr/wines/2338674	https://images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_300x300.png	4,3		49,99	miel, gingembre, cire d...	1947	Terreux	abricot, pêche, pomme	1592	fruit d'arbre fruitier	marmelade, orange, zest...	1236	agrume																						
111486	Billecart-Salmon Brut Réserve Champagne	https://www.vivino.com/DE/fr/wines/164943191	https://images.vivino.com/thumbs/JnpuAaslSdOiF4HhODi8Fw_pb_300x300.png	4,2		52	pomme, pomme verte, poi...	2347	fruit d'arbre fruitier	brioche, pain grillé, b...	1649	Vieillissement	agrume, citron, citron ...	1523	agrume																						
111485	Château Laroque Saint-Émilion Grand Cru (Grand Cru Classé)	https://www.vivino.com/GB/fr/wines/1471323	https://images.vivino.com/thumbs/CpPjFZQHQ66dAVGk3zcCXQ_pb_300x300.png	4,1		39,97	chêne, tabac, vanille	988	boisé	prune, mûre, cassis	913	fruit noir	cuir, Terreux, fumée	633	Terreux																						
111480	Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé)	https://www.vivino.com/DE/fr/wines/1766232	https://images.vivino.com/thumbs/mlKhpwLXRZC8CKUdm3JHtQ_pb_300x300.png	4,6		520,5	tabac, chêne, chocolat	1519	boisé	mûre, prune, cassis	1321	fruit noir	cuir, Terreux, fumée	1077	Terreux																						
111483	Domaine de Chevalier Pessac-Léognan (Grand Cru Classé de Graves)	https://www.vivino.com/US-VA/fr/wines/1797722	https://images.vivino.com/thumbs/O4e2DlxNTieRru7u1ymtVw_pb_300x300.png	4,2		101,84	chêne, tabac, vanille	2072	boisé	cassis, mûre, prune	1723	fruit noir	cuir, Terreux, fumée	1601	Terreux																						
111489	Roche Mazet Cuvée Spéciale Cabernet Sauvignon	https://www.vivino.com/US-VA/fr/wines/3238923	https://images.vivino.com/thumbs/RK3f1qxuTgKkqo29NQK2Qg_pb_300x300.png	3,5			vanille, chêne, chocola...	564	boisé										6,7																		
111484	Pommery Royal Brut Champagne	https://www.vivino.com/US-NY/fr/wines/1561557	https://images.vivino.com/thumbs/WfnVh-mmT6aojFb0KebhNg_pb_300x300.png	3,9		58,86	pomme, pomme verte, poi...	1685	fruit d'arbre fruitier	brioche, pain grillé, a...	1220	Vieillissement	agrume, citron, pamplem...	1089	agrume																						
111482	Domaine Lafage Bastide Miraflors Vieilles Vignes Syrah - Grenache	https://www.vivino.com/US-NY/fr/wines/13989677	https://images.vivino.com/thumbs/k3FEAgoCS8GTlOA36BGNlQ_pb_300x300.png	3,8		14,99	mûre, prune, fruit noir	1451	fruit noir	chêne, chocolat, tabac	925	boisé																									
111481	Château Phélan Ségur Saint-Estèphe	https://www.vivino.com/US-NY/fr/wines/2074150	https://images.vivino.com/thumbs/QmQ_cg9ZS_6R1-5zc2XdHw_pb_300x300.png	4,1		67,5	chêne, tabac, vanille	1797	boisé	mûre, cassis, cassis	1755	fruit noir	cuir, Terreux, fumée	1345	Terreux																						
111487	Louis Latour Bourgogne Pinot Noir	https://www.vivino.com/US-VA/fr/wines/1470344	https://images.vivino.com/thumbs/OlQRfPzBR0qG0VlCym74FA_pb_300x300.png	3,7		32,99	cerise, fraise, framboi...	2182	fruit rouge																												
111488	Le Grand Noir Pinot Noir	https://www.vivino.com/US-CA/fr/wines/1564080	https://images.vivino.com/thumbs/MNhz0bUlSU-xtBNNdk2X6A_pb_300x300.png	3,7		16,87	cerise, framboise, frai...	671	fruit rouge																												
111490	Krug Grande Cuvée	https://www.vivino.com/GB/fr/wines/164942599	https://images.vivino.com/thumbs/1_B-5zxOQwubOIpVTSdb5A_pb_300x300.png	4,6		261,5	brioche, pain grillé, a...	3262	Vieillissement	agrume, citron, pamplem...	2051	agrume	pomme, pomme verte, poi...	1808	fruit d'arbre fruitier																						
111491	M. Chapoutier Les Vignes de Bila-Haut Côtes du Roussillon Villages	https://www.vivino.com/GB/fr/wines/1470077	https://images.vivino.com/thumbs/ZST2iFNJQXi_mibvIPvslg_pb_300x300.png	3,7		15,17	mûre, prune, cerise noi...	1063	fruit noir	Terreux, cuir, minéraux	706	Terreux	cerise, framboise, frui...	616	fruit rouge																						
111492	E. Guigal Côte-Rôtie Brune & Blonde de Guigal	https://www.vivino.com/BR/fr/wines/1471892	https://images.vivino.com/thumbs/Vht7jCPnT6awORvBHxdwzA_pb_300x300.png	4,2		1,341	chêne, vanille, tabac	1456	boisé	mûre, prune, fruit noir	1382	fruit noir	cuir, fumée, Terreux	1286	Terreux	poivre, réglisse, poivr...	875	épices																			
